<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.07.03	00:00:00	145.705	146.370	145.273	145.671	64555	0	0
2018.07.04	00:00:00	145.669	146.346	145.558	146.157	60911	0	0
2018.07.05	00:00:00	146.156	146.857	145.829	146.168	66062	0	0
2018.07.06	00:00:00	146.167	146.762	146.116	146.717	56659	0	0
2018.07.08	00:00:00	147.025	147.072	146.710	146.815	5818	0	0
2018.07.09	00:00:00	146.814	147.600	146.099	147.038	72533	0	0
2018.07.10	00:00:00	147.041	147.775	146.879	146.962	74108	0	0
2018.07.11	00:00:00	146.960	148.118	146.792	147.873	84085	0	0
2018.07.12	00:00:00	147.874	148.880	147.857	148.462	74245	0	0
2018.07.13	00:00:00	148.465	148.714	147.639	148.635	66142	0	0
2018.07.15	00:00:00	148.399	148.761	148.399	148.656	5126	0	0
2018.07.16	00:00:00	148.657	149.298	148.508	148.741	61148	0	0
2018.07.17	00:00:00	148.739	149.076	147.576	148.103	72300	0	0
2018.07.18	00:00:00	148.104	148.218	146.857	147.502	69389	0	0
2018.07.19	00:00:00	147.502	147.533	146.152	146.315	74676	0	0
2018.07.20	00:00:00	146.315	146.648	145.966	146.254	70761	0	0
2018.07.22	00:00:00	146.160	146.413	145.980	145.985	6909	0	0
2018.07.23	00:00:00	145.985	146.161	145.665	146.037	68477	0	0
2018.07.24	00:00:00	146.036	146.315	145.447	146.313	65937	0	0
2018.07.25	00:00:00	146.309	146.503	145.759	146.312	71853	0	0
2018.07.26	00:00:00	146.311	146.391	145.661	145.695	64621	0	0
2018.07.27	00:00:00	145.698	145.707	145.260	145.364	56304	0	0
2018.07.29	00:00:00	145.339	145.501	145.325	145.433	5796	0	0
2018.07.30	00:00:00	145.434	145.911	145.403	145.796	57709	0	0
2018.07.31	00:00:00	145.795	146.993	145.355	146.696	72997	0	0
2018.08.01	00:00:00	146.696	147.135	146.304	146.515	61106	0	0
2018.08.02	00:00:00	146.512	146.580	145.000	145.383	65849	0	0
2018.08.03	00:00:00	145.383	145.532	144.502	144.643	55345	0	0
2018.08.05	00:00:00	144.632	144.659	144.484	144.614	2819	0	0
2018.08.06	00:00:00	144.611	144.723	144.033	144.095	55751	0	0
2018.08.07	00:00:00	144.094	144.423	143.800	144.134	53786	0	0
2018.08.08	00:00:00	144.133	144.259	142.721	142.813	58253	0	0
2018.08.09	00:00:00	142.811	143.478	142.331	142.484	60835	0	0
2018.08.10	00:00:00	142.490	142.502	140.939	141.615	70710	0	0
2018.08.12	00:00:00	140.711	141.340	140.711	141.149	6466	0	0
2018.08.13	00:00:00	141.149	141.823	140.231	141.139	74670	0	0
2018.08.14	00:00:00	141.136	142.459	140.997	141.480	68460	0	0
2018.08.15	00:00:00	141.479	141.755	139.889	140.338	71571	0	0
2018.08.16	00:00:00	140.338	141.301	140.198	141.111	72221	0	0
2018.08.17	00:00:00	141.110	141.155	140.219	140.836	57780	0	0
2018.08.19	00:00:00	140.893	140.903	140.776	140.812	5326	0	0
2018.08.20	00:00:00	140.810	141.202	140.578	140.769	58322	0	0
2018.08.21	00:00:00	140.768	142.668	140.657	142.096	66163	0	0
2018.08.22	00:00:00	142.095	142.796	141.990	142.699	61715	0	0
2018.08.23	00:00:00	142.697	142.995	142.415	142.633	60185	0	0
2018.08.24	00:00:00	142.632	143.221	142.509	142.851	49134	0	0
2018.08.26	00:00:00	142.876	143.136	142.799	143.086	5552	0	0
2018.08.27	00:00:00	143.087	143.333	142.517	143.320	55420	0	0
2018.08.28	00:00:00	143.319	143.651	142.950	143.029	60476	0	0
2018.08.29	00:00:00	143.027	145.593	142.813	145.582	65533	0	0
2018.08.30	00:00:00	145.578	145.672	144.233	144.422	66562	0	0
2018.08.31	00:00:00	144.422	144.678	143.493	143.836	62363	0	0
2018.09.02	00:00:00	143.694	143.694	143.412	143.602	6303	0	0
2018.09.03	00:00:00	143.601	143.620	142.822	142.937	57780	0	0
2018.09.04	00:00:00	142.936	143.369	142.582	143.309	66231	0	0
2018.09.05	00:00:00	143.308	144.952	142.642	143.912	68016	0	0
2018.09.06	00:00:00	143.915	144.219	142.749	142.791	67746	0	0
2018.09.07	00:00:00	142.790	144.415	142.600	143.413	65602	0	0
2018.09.09	00:00:00	143.444	143.571	143.304	143.400	4881	0	0
2018.09.10	00:00:00	143.396	145.016	143.061	144.774	58546	0	0
2018.09.11	00:00:00	144.774	145.896	144.343	145.288	63720	0	0
2018.09.12	00:00:00	145.287	145.599	144.668	145.065	63155	0	0
2018.09.13	00:00:00	145.063	146.876	145.005	146.860	61403	0	0
2018.09.14	00:00:00	146.865	147.000	146.247	146.419	59566	0	0
2018.09.16	00:00:00	146.381	146.451	146.301	146.337	4934	0	0
2018.09.17	00:00:00	146.337	147.447	146.302	146.809	63933	0	0
2018.09.18	00:00:00	146.807	147.975	146.774	147.826	71209	0	0
2018.09.19	00:00:00	147.825	148.510	147.164	147.603	72200	0	0
2018.09.20	00:00:00	147.602	149.299	147.337	149.269	67930	0	0
2018.09.21	00:00:00	149.270	149.702	146.991	147.188	63572	0	0
2018.09.23	00:00:00	147.124	147.230	146.960	147.173	5552	0	0
2018.09.24	00:00:00	147.173	148.285	146.936	147.913	64056	0	0
2018.09.25	00:00:00	147.911	149.006	147.801	148.894	63069	0	0
2018.09.26	00:00:00	148.893	149.081	148.272	148.427	65641	0	0
2018.09.27	00:00:00	148.428	148.715	147.585	148.262	69535	0	0
2018.09.28	00:00:00	148.260	148.613	147.533	148.134	61737	0	0
2018.09.30	00:00:00	148.170	148.427	148.097	148.361	3215	0	0
2018.10.01	00:00:00	148.360	149.377	148.258	148.618	64387	0	0
2018.10.02	00:00:00	148.618	148.681	147.185	147.386	66570	0	0
2018.10.03	00:00:00	147.386	148.571	147.255	148.159	73948	0	0
2018.10.04	00:00:00	148.159	148.621	147.692	148.305	75002	0	0
2018.10.05	00:00:00	148.307	149.245	148.068	149.134	70266	0	0
2018.10.07	00:00:00	149.201	149.321	149.148	149.243	5181	0	0
2018.10.08	00:00:00	149.242	149.498	147.486	148.093	69981	0	0
2018.10.09	00:00:00	148.090	148.732	147.340	148.683	76580	0	0
2018.10.10	00:00:00	148.681	149.286	147.917	147.991	80322	0	0
2018.10.11	00:00:00	147.989	148.764	147.809	148.322	91062	0	0
2018.10.12	00:00:00	148.318	148.993	147.154	147.577	74470	0	0
2018.10.14	00:00:00	147.346	147.346	146.730	147.011	7002	0	0
2018.10.15	00:00:00	147.012	147.411	146.499	147.102	77565	0	0
2018.10.16	00:00:00	147.102	148.391	147.079	148.140	76146	0	0
2018.10.17	00:00:00	148.141	148.239	147.047	147.539	77798	0	0
2018.10.18	00:00:00	147.538	147.732	145.800	146.050	78807	0	0
2018.10.19	00:00:00	146.049	147.291	146.049	147.023	73561	0	0
2018.10.21	00:00:00	147.083	147.102	146.855	146.934	5257	0	0
2018.10.22	00:00:00	146.933	147.567	146.042	146.180	74448	0	0
2018.10.23	00:00:00	146.179	146.382	145.284	145.943	79381	0	0
2018.10.24	00:00:00	145.944	146.290	144.262	144.281	83984	0	0
2018.10.25	00:00:00	144.284	145.020	143.979	144.023	81007	0	0
2018.10.26	00:00:00	144.023	144.119	142.762	143.536	80464	0	0
2018.10.28	00:00:00	143.461	143.619	143.425	143.591	5151	0	0
2018.10.29	00:00:00	143.589	144.386	143.333	143.786	81712	0	0
2018.10.30	00:00:00	143.784	144.368	143.202	143.664	80145	0	0
2018.10.31	00:00:00	143.664	145.119	143.614	144.076	78381	0	0
2018.11.01	00:00:00	144.075	146.836	144.015	146.569	82803	0	0
2018.11.02	00:00:00	146.570	147.245	146.327	146.771	75115	0	0
2018.11.04	00:00:00	147.048	147.285	147.048	147.129	5458	0	0
2018.11.05	00:00:00	147.128	147.928	146.846	147.880	76512	0	0
2018.11.06	00:00:00	147.880	148.689	147.292	148.620	76422	0	0
2018.11.07	00:00:00	148.619	149.216	148.275	149.071	89133	0	0
2018.11.08	00:00:00	149.072	149.473	148.600	148.882	79907	0	0
2018.11.09	00:00:00	148.881	148.954	147.486	147.644	76381	0	0
2018.11.11	00:00:00	146.909	147.286	146.863	147.283	7328	0	0
2018.11.12	00:00:00	147.284	147.564	146.060	146.137	81617	0	0
2018.11.13	00:00:00	146.136	148.707	145.967	148.088	88465	0	0
2018.11.14	00:00:00	148.087	148.370	146.308	147.436	94508	0	0
2018.11.15	00:00:00	147.437	147.906	144.252	144.963	94657	0	0
2018.11.16	00:00:00	144.963	145.429	144.593	144.722	80180	0	0
2018.11.18	00:00:00	144.768	144.939	144.527	144.666	6614	0	0
2018.11.19	00:00:00	144.665	145.295	144.296	144.586	81411	0	0
2018.11.20	00:00:00	144.587	144.893	144.008	144.131	83674	0	0
2018.11.21	00:00:00	144.131	144.878	144.059	144.406	75420	0	0
2018.11.22	00:00:00	144.406	145.924	144.250	145.476	67338	0	0
2018.11.23	00:00:00	145.473	145.504	144.342	144.625	67956	0	0
2018.11.25	00:00:00	144.743	144.824	144.636	144.671	7489	0	0
2018.11.26	00:00:00	144.671	145.725	144.644	145.429	75862	0	0
2018.11.27	00:00:00	145.428	145.498	144.586	144.955	77848	0	0
2018.11.28	00:00:00	144.956	145.823	144.849	145.602	76891	0	0
2018.11.29	00:00:00	145.606	145.661	144.509	144.977	76304	0	0
2018.11.30	00:00:00	144.979	145.276	144.615	144.671	70597	0	0
2018.12.02	00:00:00	145.294	145.390	144.702	145.050	6747	0	0
2018.12.03	00:00:00	145.051	145.502	144.170	144.535	74601	0	0
2018.12.04	00:00:00	144.536	144.743	142.839	143.312	84272	0	0
2018.12.05	00:00:00	143.315	144.521	143.255	143.830	74394	0	0
2018.12.06	00:00:00	143.833	144.158	143.239	143.998	87845	0	0
2018.12.07	00:00:00	144.019	144.199	143.223	143.467	76554	0	0
2018.12.09	00:00:00	142.920	143.237	142.916	143.096	6821	0	0
2018.12.10	00:00:00	143.100	143.681	141.163	142.150	87075	0	0
2018.12.11	00:00:00	142.157	142.910	141.437	141.622	84244	0	0
2018.12.12	00:00:00	141.624	143.430	141.531	142.994	85934	0	0
2018.12.13	00:00:00	142.997	143.923	142.993	143.693	78108	0	0
2018.12.14	00:00:00	143.697	143.724	142.374	142.679	72228	0	0
2018.12.16	00:00:00	142.731	142.786	142.489	142.685	6795	0	0
2018.12.17	00:00:00	142.692	143.220	142.148	142.326	78907	0	0
2018.12.18	00:00:00	142.328	142.645	141.923	142.380	81726	0	0
2018.12.19	00:00:00	142.379	142.519	141.574	141.923	86201	0	0
2018.12.20	00:00:00	141.922	142.089	140.576	140.822	90610	0	0
2018.12.21	00:00:00	140.825	141.154	140.231	140.443	83160	0	0
2018.12.23	00:00:00	140.011	140.533	139.993	140.451	6852	0	0
2018.12.24	00:00:00	140.461	140.833	140.294	140.317	64924	0	0
2018.12.26	00:00:00	140.049	140.850	139.736	140.714	77011	0	0
2018.12.27	00:00:00	140.710	140.777	139.712	140.184	101839	0	0
2018.12.28	00:00:00	140.185	140.342	139.485	140.059	78159	0	0
2018.12.30	00:00:00	140.099	140.233	139.937	140.008	6684	0	0
2018.12.31	00:00:00	140.012	140.861	139.517	139.736	64397	0	0
2019.01.02	00:00:00	139.871	139.871	133.783	134.418	84860	0	0
2019.01.03	00:00:00	134.427	136.768	133.869	136.179	95868	0	0
2019.01.04	00:00:00	136.180	138.283	135.812	138.059	85236	0	0
2019.01.06	00:00:00	138.101	138.275	137.858	138.193	6565	0	0
2019.01.07	00:00:00	138.196	138.957	137.608	138.872	79802	0	0
2019.01.08	00:00:00	138.875	139.417	137.963	138.537	82897	0	0
2019.01.09	00:00:00	138.540	139.090	137.751	138.462	85287	0	0
2019.01.10	00:00:00	138.460	138.505	137.437	138.096	81978	0	0
2019.01.11	00:00:00	138.093	139.464	137.630	139.353	73813	0	0
2019.01.13	00:00:00	139.410	139.557	139.323	139.325	4786	0	0
2019.01.14	00:00:00	139.328	140.038	138.591	139.345	73303	0	0
2019.01.15	00:00:00	139.345	140.418	137.361	139.838	85585	0	0
2019.01.16	00:00:00	139.840	140.684	138.975	140.490	80613	0	0
2019.01.17	00:00:00	140.503	142.197	139.507	141.694	80861	0	0
2019.01.18	00:00:00	141.695	142.070	141.077	141.311	73261	0	0
2019.01.20	00:00:00	141.072	141.273	140.849	140.934	6113	0	0
2019.01.21	00:00:00	140.942	141.512	140.673	141.369	69998	0	0
2019.01.22	00:00:00	141.367	141.909	140.613	141.683	76327	0	0
2019.01.23	00:00:00	141.682	143.545	141.678	143.229	77381	0	0
2019.01.24	00:00:00	143.231	143.753	142.705	143.746	80029	0	0
2019.01.25	00:00:00	143.758	144.830	143.391	144.572	75132	0	0
2019.01.27	00:00:00	144.240	144.705	144.236	144.504	5346	0	0
2019.01.28	00:00:00	144.503	144.521	143.592	143.776	73196	0	0
2019.01.29	00:00:00	143.772	144.463	142.696	143.085	77135	0	0
2019.01.30	00:00:00	143.106	143.584	142.723	142.927	75658	0	0
2019.01.31	00:00:00	142.927	143.194	142.234	142.680	74495	0	0
2019.02.01	00:00:00	142.677	143.480	142.068	143.240	66453	0	0
2019.02.03	00:00:00	143.086	143.186	142.971	143.113	6370	0	0
2019.02.04	00:00:00	143.112	144.157	143.110	143.256	67557	0	0
2019.02.05	00:00:00	143.257	143.538	142.027	142.438	64228	0	0
2019.02.06	00:00:00	142.440	142.503	141.747	142.238	68499	0	0
2019.02.07	00:00:00	142.244	142.611	141.118	142.105	71547	0	0
2019.02.08	00:00:00	142.110	142.507	141.837	142.050	61760	0	0
2019.02.10	00:00:00	141.916	142.109	141.770	142.056	4643	0	0
2019.02.11	00:00:00	142.057	142.540	141.789	141.995	67697	0	0
2019.02.12	00:00:00	142.001	142.620	141.859	142.458	68006	0	0
2019.02.13	00:00:00	142.463	143.312	142.432	142.597	66101	0	0
2019.02.14	00:00:00	142.596	143.013	141.273	141.454	71703	0	0
2019.02.15	00:00:00	141.456	142.387	141.000	142.354	65858	0	0
2019.02.17	00:00:00	142.479	142.669	142.439	142.665	5230	0	0
2019.02.18	00:00:00	142.667	143.008	142.526	142.914	68074	0	0
2019.02.19	00:00:00	142.912	144.687	142.466	144.388	68317	0	0
2019.02.20	00:00:00	144.391	145.027	144.113	144.456	69797	0	0
2019.02.21	00:00:00	144.460	144.905	144.072	144.358	73092	0	0
2019.02.22	00:00:00	144.357	144.713	143.771	144.479	63673	0	0
2019.02.24	00:00:00	144.418	144.728	144.399	144.717	6904	0	0
2019.02.25	00:00:00	144.716	145.770	144.445	145.749	70088	0	0
2019.02.26	00:00:00	145.752	147.040	145.394	146.573	72484	0	0
2019.02.27	00:00:00	146.575	148.026	146.151	147.636	73919	0	0
2019.02.28	00:00:00	147.637	148.246	146.972	147.701	70257	0	0
2019.03.01	00:00:00	147.700	148.554	147.506	147.811	66707	0	0
2019.03.03	00:00:00	148.196	148.324	147.799	148.165	6704	0	0
2019.03.04	00:00:00	148.164	148.293	147.094	147.296	68943	0	0
2019.03.05	00:00:00	147.294	147.768	146.598	147.166	69344	0	0
